id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
86,VL/F5/QR/202627/00074,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
87,VL/F5/QR/202627/00075,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
88,VL/F5/QR/202627/00076,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
89,VL/F5/QR/202627/00077,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
90,VL/F5/QR/202627/00078,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
91,VL/F5/QR/202627/00079,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
92,VL/F5/QR/202627/00080,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
93,VL/F5/QR/202627/00081,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
94,VL/F5/QR/202627/00082,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
95,VL/F5/QR/202627/00083,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
96,VL/F5/QR/202627/00084,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
97,VL/F5/QR/202627/00085,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
98,VL/F5/QR/202627/00086,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
99,VL/F5/QR/202627/00087,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
100,VL/F5/QR/202627/00088,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
101,VL/F5/QR/202627/00089,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
102,VL/F5/QR/202627/00090,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
103,VL/F5/QR/202627/00091,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
104,VL/F5/QR/202627/00092,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
105,VL/F5/QR/202627/00093,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
106,VL/F5/QR/202627/00094,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
107,VL/F5/QR/202627/00095,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
108,VL/F5/QR/202627/00096,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
109,VL/F5/QR/202627/00097,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
110,VL/F5/QR/202627/00098,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
111,VL/F5/QR/202627/00099,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
112,VL/F5/QR/202627/00100,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
113,VL/F5/QR/202627/00101,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
114,VL/F5/QR/202627/00102,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
115,VL/F5/QR/202627/00103,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
116,VL/F5/QR/202627/00104,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
117,VL/F5/QR/202627/00105,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
118,VL/F5/QR/202627/00106,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
119,VL/F5/QR/202627/00107,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
120,VL/F5/QR/202627/00108,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
121,VL/F5/QR/202627/00109,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
122,VL/F5/QR/202627/00110,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
123,VL/F5/QR/202627/00111,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
124,VL/F5/QR/202627/00112,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
125,VL/F5/QR/202627/00113,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
126,VL/F5/QR/202627/00114,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
127,VL/F5/QR/202627/00115,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
128,VL/F5/QR/202627/00116,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
129,VL/F5/QR/202627/00117,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
130,VL/F5/QR/202627/00118,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
131,VL/F5/QR/202627/00119,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
132,VL/F5/QR/202627/00120,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
133,VL/F5/QR/202627/00121,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
134,VL/F5/QR/202627/00122,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
135,VL/F5/QR/202627/00123,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
136,VL/F5/QR/202627/00124,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
137,VL/F5/QR/202627/00125,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
