id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
113,VL/F1/QR/202627/00018,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
114,VL/F1/QR/202627/00019,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
115,VL/F1/QR/202627/00020,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
116,VL/F1/QR/202627/00021,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
117,VL/F3/QR/202627/00031,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
118,VL/F3/QR/202627/00032,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
119,VL/F1/QR/202627/00022,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
120,VL/F1/QR/202627/00023,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
121,VL/F1/QR/202627/00024,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
122,VL/F1/QR/202627/00025,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
123,VL/F1/QR/202627/00026,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
124,VL/F3/QR/202627/00033,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
125,VL/F3/QR/202627/00034,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
126,VL/F3/QR/202627/00035,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
127,VL/F3/QR/202627/00036,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
128,VL/F3/QR/202627/00037,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
129,VL/F3/QR/202627/00038,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
130,VL/F1/QR/202627/00027,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
131,VL/F3/QR/202627/00039,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
132,VL/F1/QR/202627/00028,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
133,VL/F1/QR/202627/00029,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
134,VL/F3/QR/202627/00040,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
135,VL/F3/QR/202627/00041,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
136,VL/F3/QR/202627/00042,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
137,VL/F1/QR/202627/00030,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
138,VL/F1/QR/202627/00031,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
139,VL/F1/QR/202627/00032,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
140,VL/F1/QR/202627/00033,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
141,VL/F3/QR/202627/00043,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
142,VL/F1/QR/202627/00034,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
143,VL/F1/QR/202627/00035,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
144,VL/F3/QR/202627/00044,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
145,VL/F3/QR/202627/00045,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
146,VL/F1/QR/202627/00036,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
147,VL/F1/QR/202627/00037,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
